,mean,std,min,max
status,5.260273972602739,2.199003510310105,1.0,8.0
date_updated,-3.1552511415525113,4.18862672706186,-37.0,0.0
due_date,-5.200913242009133,21.536570589593232,-89.0,44.0
start_date,-41.39269406392694,28.936677807330266,-121.0,18.0
[D] Deal revenue (USD),5255.479452054795,6402.623521428122,0.0,66400.0
[ST] ADAPTATIONS,3.036529680365297,8.012521096612248,0.0,100.0
[ST] CREATION,6.342465753424658,8.264912868134697,0.0,100.0
t-1,1602.5913242009133,2119.28359027346,0.0,11430.0
t-2,854.6613394216133,1398.29019518977,0.0,7200.0
t-3,508.26103500761036,1420.830899461176,0.0,13970.0
t-4,27.397260273972602,276.2429494999334,0.0,4000.0
Cierre,2229.6803652968038,5716.982351819165,0.0,63080.0
,0.182648401826484,0.3872631796428201,0.0,1.0
Meta (PS),0.273972602739726,0.44701683893542365,0.0,1.0
TikTok (PS),0.54337899543379,0.49925586618862766,0.0,1.0
saldo,2262.568493150685,5981.57585855053,-9000.0,63080.0
task_type_Deal,0.0958904109589041,0.29511544444476356,0.0,1.0
task_type_Task,0.9041095890410958,0.29511544444476356,0.0,1.0
list_name_BC ROLA Clients management,0.0821917808219178,0.2752859059666483,0.0,1.0
list_name_BR Clients management,0.1232876712328767,0.32952031356069555,0.0,1.0
list_name_META Clients management,0.3150684931506849,0.46560739639823867,0.0,1.0
list_name_MX/US Clients management,0.0045662100456621,0.06757373783994859,0.0,1.0
list_name_ROLA Clients management,0.0182648401826484,0.13421434040727756,0.0,1.0
list_name_TIKTOK Clients management,0.45662100456621,0.49925586618862766,0.0,1.0
ADVOCATE ADS,0.6255707762557078,0.48508395023447515,0.0,1.0
CREATORS AI,0.0273972602739726,0.16361198838946078,0.0,1.0
OPTIMIZATION,0.0273972602739726,0.16361198838946076,0.0,1.0
Otro,0.0319634703196347,0.17630581890206382,0.0,1.0
REMIX,0.0136986301369863,0.11650302412874264,0.0,1.0
STATIC IMAGE,0.0593607305936073,0.23683996166539473,0.0,1.0
VIDEO ANIMATION,0.091324200913242,0.2887295485567667,0.0,1.0
VIDEO CBA (UGC),0.2557077625570776,0.43725774575628734,0.0,1.0
Meta,0.4200913242009132,0.4947040546765066,0.0,1.0
Tiktok,0.5799086757990868,0.4947040546765066,0.0,1.0
dias_restantes,16.068493150684933,0.893330544708304,15.0,17.0
